ID,LIMIT_BAL,PAY_0,PAY_2,BILL_AMT1,BILL_AMT2,PAY_AMT1,PAY_AMT2,PAY_AMT4,default.payment.next.month
43,10000,0,0,1877,3184,1500,2927,300,0
44,140000,0,0,59504,61544,3000,3000,4000,0
45,40000,0,0,18927,21295,3000,5000,2000,0
46,210000,-2,-2,0,0,0,0,0,1
47,20000,0,0,14028,16484,3000,0,334,1
48,150000,0,0,4463,3034,1013,1170,0,1
49,380000,-1,-1,22401,21540,21540,15138,11851,0
50,20000,0,0,17447,18479,1318,1315,928,0
51,70000,1,2,37042,36171,0,3100,0,1
52,1.00E+05,0,0,61559,51163,2000,1606,2000,0
53,310000,-2,-2,13465,7867,7875,7600,3544,0
54,180000,1,2,41402,41742,1300,2010,1762,0
55,150000,2,0,46224,34993,1600,1718,1500,0
56,5.00E+05,-2,-2,1905,3640,3640,162,151,0
57,180000,0,0,16386,15793,8500,1500,679,0
58,180000,0,0,175886,173440,8083,7296,4814,0
59,2.00E+05,-1,3,1587,1098,0,0,0,0
60,4.00E+05,0,0,400134,398857,17000,15029,12000,0
61,5.00E+05,0,0,22848,23638,1516,1300,1000,1
62,70000,0,0,70800,72060,4025,2095,2000,0
63,50000,2,2,24987,24300,0,2700,2225,1
64,50000,0,0,28718,29166,1000,0,0,1
65,130000,-1,-1,99,0,0,0,2353,0
66,2.00E+05,-2,-2,152519,148751,0,0,300,1
67,10000,2,2,2097,4193,2300,0,200,1
68,210000,2,-1,300,300,300,1159,300,0
69,130000,1,-2,-190,-9850,0,0,0,0
70,20000,2,0,18565,17204,0,1200,500,0
71,80000,-1,-1,780,0,0,390,390,0
72,320000,2,2,58267,59246,2500,2500,4800,1
73,2.00E+05,-1,-1,9076,5787,5818,15,17,0
74,290000,1,-2,0,0,0,3155,2359,0
75,340000,-1,-1,3048,5550,5713,23453,80552,0
76,20000,0,0,14619,17216,2850,0,630,0
77,50000,-1,0,42838,37225,1759,1779,500,0
78,3.00E+05,-1,-1,291,291,291,291,291,0
79,30000,0,0,28387,29612,1686,1400,3000,1
80,240000,1,-2,0,0,0,0,0,1
81,470000,0,0,165254,157784,6400,7566,960,0
82,360000,0,0,23411,27796,4796,3400,146900,0
83,60000,0,0,26324,27471,1576,1213,768,1
84,4.00E+05,0,0,131595,139060,10700,3,3000,0
85,50000,0,0,48909,47863,1676,1302,699,0
86,160000,0,0,130028,107808,4400,3547,4500,0
87,360000,-1,-1,390,1170,1170,0,390,1
88,160000,0,0,3826,4751,1147,2000,0,0
89,130000,0,0,81313,117866,40000,5000,7095,0
90,20000,2,2,8583,8303,0,1651,2000,0
91,2.00E+05,2,2,138180,140774,6300,5500,5500,1
92,280000,-1,-1,7524,0,0,3968,0,0
93,1.00E+05,-2,-2,-2000,5555,7555,0,0,0
94,160000,-1,-1,880,1602,1602,840,0,0
95,60000,0,0,45648,46850,1937,1301,690,0
96,90000,0,0,83725,85996,3621,3597,1112,0
97,360000,-1,-1,3967,8322,8339,3394,27000,0
98,150000,0,0,86009,86108,4031,10006,4040,0
99,50000,0,0,18722,18160,1411,1194,281,0
100,20000,0,0,17973,19367,1699,1460,1750,1
101,140000,-2,-2,672,10212,10212,850,100,0
102,380000,-2,-2,-81,-303,223,33178,1197,0
103,480000,0,0,422069,431342,16078,55693,0,0
104,50000,0,0,44698,42254,1767,1362,840,1
105,60000,2,2,56685,55208,0,5000,6,0
106,70000,-1,-1,5580,0,0,0,0,0
107,80000,-1,-1,6108,2861,2861,3279,1150,0
108,350000,-1,-1,713,2272,2272,722,1150,0
109,130000,0,0,171438,178382,10908,0,4566,0
110,360000,1,-2,-103,-103,0,0,0,0
111,330000,0,0,105879,108431,9260,0,4100,0
112,50000,0,0,13244,14722,2000,1000,1000,0
113,280000,2,2,135673,138532,6500,0,14850,0
114,1.00E+05,0,0,52128,52692,2000,2677,5080,0
115,50000,0,0,19015,19294,1340,1305,718,0
116,30000,-1,2,18199,17618,0,1312,0,1
117,240000,-1,-1,326,326,326,326,476,0
118,80000,2,0,14029,15493,2000,1700,1000,1
119,4.00E+05,-1,-1,19660,9666,9677,11867,14837,0
120,240000,0,0,50254,51445,2000,3000,1307,0
121,50000,2,2,46004,45976,1000,4035,1400,1
122,450000,1,-2,0,0,0,0,0,1
123,110000,1,-2,0,0,0,0,0,0
124,310000,2,0,304991,311243,13019,11128,8599,1
125,20000,0,0,19115,18962,1404,1130,861,0
126,20000,1,-2,0,0,0,0,0,0
127,2.00E+05,0,0,110151,99530,3568,3585,3848,0
128,180000,0,0,163736,116422,4655,2690,2142,1
129,50000,0,0,3347,3899,1000,1066,1500,1
130,60000,3,2,60521,61450,2504,7,1200,0
131,30000,1,-2,4000,5645,5645,3508,13771,0
132,240000,1,-1,95,2622,2622,3301,360,0
133,420000,0,0,253454,247743,9744,9553,7830,0
134,330000,0,0,227389,228719,8210,8095,8175,0
135,30000,0,0,28452,26145,2000,1400,500,0
136,240000,0,0,10674,12035,1500,1800,1000,0
137,150000,0,0,17444,19342,2500,3000,3000,0
138,210000,0,0,7166,7997,1500,1500,500,0
139,50000,-1,-1,752,300,300,5880,0,1
140,50000,0,0,50801,50143,2360,1700,900,0
141,240000,1,-2,0,0,0,0,0,1
142,180000,-1,-1,1832,0,0,416,500,0
143,50000,1,2,10131,10833,1000,10000,700,0
144,170000,-2,-2,12159,10000,10000,10000,9983,0
145,20000,-1,-1,1199,15586,15586,344,4702,0
146,50000,0,0,4999,5913,1000,1500,1583,0
147,170000,0,0,19269,20313,1661,1200,358,1
148,2.00E+05,1,2,197236,176192,8000,5000,5000,0
149,80000,1,2,9168,10522,1650,0,379,0
150,260000,1,-2,-1100,-1100,0,22500,969,0
151,140000,0,0,86627,78142,3455,3110,0,0
152,80000,0,0,42444,55744,30000,3000,8000,0
153,350000,1,-1,208,2906,2906,1000,0,0
154,280000,0,0,208775,182350,8042,6700,1.00E+05,0
155,30000,0,0,9014,10406,1700,1500,1500,0
156,140000,0,0,23944,28049,5000,5000,5000,0
157,2.00E+05,0,0,105420,102870,4000,3250,3500,0
158,2.00E+05,0,0,196031,196143,7300,7108,6200,0
159,210000,2,3,115785,122904,10478,10478,11078,1
160,50000,3,2,12854,12362,0,1600,500,0
161,30000,2,2,24357,27453,3500,0,0,0
162,50000,2,-1,390,390,390,780,864,0
163,290000,-1,-1,1234,396,396,396,0,0
164,250000,0,0,141223,156858,17994,0,5656,0
165,60000,0,0,21148,23803,3000,1500,1000,0
166,110000,0,0,101640,104795,5500,3900,2900,0
167,370000,-2,-2,6093,15130,15383,8204,4792,0
168,1.00E+05,-1,2,102349,96847,3166,0,1398,0
169,90000,0,0,72112,73854,3500,3500,10000,0
170,50000,0,0,28040,29092,1510,1442,1017,0
171,270000,0,0,37695,33397,5000,2000,4000,0
172,3.00E+05,-1,-1,688,3280,3288,0,2672,0
173,50000,-1,0,8567,15273,15000,1000,0,0
174,50000,1,-2,-709,-709,0,0,0,1
175,360000,1,-2,0,0,0,77,0,0
176,130000,1,2,64617,65978,3000,3000,5500,1
177,80000,-2,-1,6187,100,504,500,500,0
178,50000,1,2,48860,47801,0,1500,2000,0
179,20000,0,0,16001,12622,1212,1201,1500,0
180,80000,0,0,77883,81811,5800,1000,400,0
181,240000,-1,-1,12212,26578,15000,0,0,0
182,80000,0,-1,49608,12412,12500,6500,2000,0
183,5.00E+05,0,0,56422,110616,70010,30357,20000,0
184,60000,0,0,58024,57891,2500,1600,1000,1
185,20000,0,0,10642,11677,1200,1593,135,0
186,1.00E+05,1,2,14483,13961,0,1600,0,1
187,360000,1,-1,2616,57077,57087,5295,13889,0
188,2.00E+05,2,2,199436,202947,8214,7000,7134,1
189,130000,1,-1,0,5396,5396,5000,501,0
190,20000,1,5,21703,21087,0,1000,0,0
191,310000,0,0,59901,62147,10020,6031,5028,0
192,60000,2,0,19625,20347,1342,1664,0,1
193,180000,-1,-1,11386,199,199,0,17227,0
194,180000,-1,-1,14670,22087,37867,0,0,0
195,50000,0,0,47790,18114,2000,1000,500,0
196,50000,1,2,36166,37188,1900,1400,1532,1
197,150000,-2,-2,0,0,0,0,0,0
198,20000,0,0,18553,19446,1500,1032,20000,0
199,5.00E+05,-2,-2,412,138,138,2299,1206,0
200,30000,1,2,29010,29256,1000,85,104,1
201,180000,-2,-2,750,0,0,0,0,0
202,140000,0,0,27123,27299,25000,0,7800,0
203,140000,-1,0,13424,18000,10000,13001,13506,0
204,120000,0,0,107314,110578,5000,5000,5000,0
205,360000,0,0,226430,231878,9100,7300,5600,0
206,20000,-1,-1,227,20351,22359,1305,1459,0
207,1.00E+05,-1,-1,390,1473,1473,390,390,0
208,210000,-1,-1,3088,1586,1586,343,877,1
209,80000,0,0,81625,81554,3200,3000,2000,1
210,330000,-1,-1,8872,4337,4345,2854,0,0
211,220000,0,0,105607,108917,5000,5050,0,0
212,210000,1,-2,0,0,0,250,789,1
213,40000,0,0,38257,38901,1700,1504,1500,0
214,30000,0,0,28347,28108,3036,2309,1000,0
215,470000,2,2,296573,303320,13000,11001,10484,0
216,30000,-1,-1,390,390,390,390,1470,0
217,240000,1,-2,-946,-946,0,0,0,1
218,80000,2,0,79278,78501,3100,3500,3000,0
219,110000,0,0,89989,84229,4000,5000,3000,0
220,310000,-1,-1,1424,4542,4542,126,0,0
221,360000,2,2,105167,115468,12000,0,5000,1
222,330000,0,0,335196,334954,12388,12378,12450,0
223,3.00E+05,0,0,291619,297268,12019,9006,12000,0
224,320000,0,0,91653,94037,10042,18832,2076,0
225,50000,1,3,52626,51537,0,24,1000,1
226,170000,0,0,130370,131199,6530,4860,4820,0
227,350000,-1,-1,3265,2686,2686,1864,0,0
228,20000,0,0,16455,16511,1609,3000,676,0
229,50000,2,0,49758,48456,2401,2254,704,1
230,20000,1,2,19154,18165,0,1333,100,0
231,50000,0,0,35084,35796,2090,2002,238,0
232,20000,1,2,20235,17132,0,1200,0,1
233,50000,0,0,102800,0,0,0,45567,0
234,190000,2,0,129801,131383,5000,5000,0,1
235,60000,0,0,58203,36367,1506,1298,721,0
236,80000,-1,-1,7988,3977,3983,6853,1378,0
237,150000,0,0,127402,110050,4500,1745,1208,0
238,210000,-2,-2,1440,0,0,7422,6082,0
239,240000,0,0,234205,231669,10116,9150,8000,1
240,140000,0,0,19346,21708,3000,2000,1000,1
241,60000,1,2,21501,20650,0,0,0,0
242,50000,0,0,47174,47974,1800,2000,2000,0
243,50000,0,0,26655,27724,1800,1750,1200,0
244,180000,-1,-1,3139,5853,2821,0,2821,0
245,30000,-1,-1,142,215,355,120,0,0
246,20000,0,0,19816,20396,1601,2203,0,0
247,250000,0,-1,52874,1631,1631,1536,5572,0
248,1.00E+05,0,0,37767,34457,1788,1799,1150,0
249,330000,0,0,46140,45781,2504,4007,74,0
250,50000,0,0,35713,15392,1561,1268,611,0
251,50000,1,2,50867,51486,1710,136,2002,0
252,30000,0,0,29242,29507,5006,1244,955,0
253,140000,0,0,101551,105246,5366,5087,3894,1
254,160000,0,0,70243,47779,7042,2000,99669,0
255,4.00E+05,-1,0,19532,3719,3127,1469,1905,0
256,50000,0,0,27699,28513,1565,1393,994,0
257,140000,0,-1,1154,1233,1233,1075,1130,0
258,160000,-1,-1,8015,2453,2453,9880,1546,0
259,1.00E+05,0,0,62170,0,0,0,0,0
260,220000,2,0,210380,213522,10000,9020,5500,1
261,510000,0,0,78331,99414,40010,20094,5001,0
262,50000,0,0,49276,35100,1602,1400,3130,0
263,160000,-1,-1,4473,4664,4664,5969,0,0
264,230000,-2,-2,2283,50815,51315,0,299,0
265,80000,-1,-1,10115,249,258,5995,1644,0
266,150000,-1,-1,6156,0,0,0,316,0
267,10000,0,0,6974,7838,1134,1298,847,0
268,130000,0,0,89003,91362,4100,3095,561,1
269,40000,0,0,34871,34449,1600,1600,1500,0
270,50000,3,2,13694,14880,1700,0,501,1
271,1.00E+05,0,0,70003,31545,2035,2004,2007,0
272,120000,-1,2,1082,632,0,1350,0,0
273,260000,1,-2,0,0,0,0,0,1
274,2.00E+05,0,0,11253,12852,2000,1322,2000,0
275,360000,-2,-2,0,0,0,0,0,1
276,70000,0,0,68699,69120,4483,12496,3000,0
277,460000,2,-1,171,2715,2728,0,0,1
278,50000,-1,-1,1156,316,316,316,316,0
279,50000,0,0,50859,50462,2007,2199,707,0
280,250000,0,0,103109,102594,4000,4500,4000,0
281,30000,0,0,1512,2458,1000,664,0,0
282,270000,0,0,127543,109189,10063,5162,44299,0
283,180000,0,0,163935,153152,7722,6091,3605,0
284,1.00E+05,0,0,53494,52656,4173,3000,5000,0
285,230000,0,0,195126,88743,5000,5000,5000,0
286,210000,-1,-1,110346,41986,41986,21874,16171,0
287,210000,2,0,60502,62804,3276,2026,2000,0
288,440000,0,0,180641,181557,8610,6907,3800,0
289,1.00E+05,2,0,70896,71678,3472,2092,2127,1
290,240000,0,0,8751,9900,1295,1000,1000,0
291,280000,-1,-1,898,898,898,325,325,1
292,50000,1,-2,0,0,0,0,0,1
293,30000,3,2,1700,2610,1100,0,0,0
294,10000,0,0,7015,10227,3507,0,370,1
295,130000,1,-2,0,0,0,0,0,0
296,2.00E+05,0,0,194353,197344,9000,7465,4804,0
297,120000,-1,-1,1686,657,657,2319,0,0
298,210000,0,0,143225,142996,6483,5082,5900,0
299,280000,0,0,58983,60788,2755,3463,1100,0
300,3.00E+05,1,-2,0,0,0,13001,19595,1
301,1.00E+05,0,0,99209,98222,3490,2332,2365,0
302,440000,-2,-2,0,0,0,0,0,0
303,50000,0,0,49941,51213,2400,1206,1000,0
304,20000,0,0,11968,14564,2800,0,1700,1
305,2.00E+05,-1,-1,871,665,665,960,1014,0
306,110000,-2,-2,432,3220,3220,5904,3000,0
307,5.00E+05,-1,-1,10483,23956,23962,0,4590,0
308,3.00E+05,1,-1,0,5215,5215,0,0,0
309,30000,2,2,9720,10613,1200,1200,1500,1
310,60000,-1,-1,20847,13801,13809,14583,273,0
311,4.00E+05,-1,0,3697,3600,1000,1354,6,0
312,180000,0,0,143301,146333,7000,5000,4900,0
313,20000,0,0,10934,13738,3000,3100,3000,0
314,2.00E+05,-1,2,52439,51040,0,6000,5000,1
315,1.00E+05,0,0,55734,52557,1631,1286,645,0
316,60000,0,0,49507,33282,1970,2000,809,1
317,110000,0,0,47819,48947,2200,2500,2100,0
318,260000,1,-1,0,165,165,526,397,0
319,50000,3,2,48522,50955,3754,1,1030,0
320,180000,1,-2,-2,-2,0,0,0,0
321,110000,1,2,58362,56598,2500,0,2000,1
322,340000,0,0,172180,180140,21105,5461,5849,0
323,50000,-1,0,1399,2441,1070,1500,2477,0
324,230000,0,0,26361,18826,1710,1100,767,1
325,360000,0,0,93029,94054,10000,7000,10000,0
326,210000,1,-2,0,0,0,38013,5000,0
327,220000,-1,2,650,650,325,0,0,1
328,60000,2,2,24898,27976,3800,0,0,1
329,340000,-2,-1,50396,44665,44665,8321,24599,0
330,150000,2,2,99855,102586,5200,0,4000,0
331,2.00E+05,1,-1,-179,505,1000,0,24000,1
332,130000,0,0,9559,12394,3000,0,500,1
333,60000,1,2,10540,10232,0,1483,10000,0
334,4.00E+05,1,-2,0,0,0,0,1600,0
335,20000,0,0,20571,19089,1323,1600,700,0
336,190000,0,0,143464,146943,5795,7408,5753,0
337,260000,0,0,156882,160246,10000,8000,7000,0
338,140000,-2,-2,390,0,0,0,0,0
339,50000,0,0,46512,47716,1974,4406,1073,1
340,120000,-1,-1,882,6531,6900,5037,1330,0
341,240000,-2,-2,92,92,92,92,92,0
342,50000,0,0,5916,6172,1212,1200,978,0
343,2.00E+05,-1,2,2393,183,0,4872,5000,0
344,180000,0,0,274731,281713,11000,145000,0,0
345,180000,0,0,145403,138232,5440,5051,4106,0
346,160000,-1,-1,3097,-707,0,0,5000,0
347,1.00E+05,-1,-1,1370,4192,4210,4159,1080,0
348,50000,0,0,47081,49316,3000,2000,2000,1
349,140000,0,0,138119,137950,6600,6500,5300,0
350,30000,0,0,17893,19012,1411,1522,795,1
351,90000,0,0,39128,20473,1541,4200,0,0
352,2.00E+05,1,-2,-14386,-13543,10118,47015,4000,0
353,380000,1,-2,0,0,0,0,0,1
354,80000,0,0,77057,78102,3177,2600,1691,0
355,50000,2,2,15899,18720,3400,0,1001,0
356,180000,-1,0,27679,28422,1481,2000,1200,1
357,240000,0,0,141315,128940,6349,5834,4000,0
358,380000,0,0,194314,179206,9010,35000,6000,0
359,110000,0,0,83755,77431,3000,2900,3000,0
360,260000,-1,-1,49657,291,291,51058,34039,0
361,5.00E+05,4,3,507726,509229,10000,0,16500,1
362,320000,0,0,71305,71151,2589,2568,2661,0
363,50000,4,3,45734,44741,0,0,1358,0
364,110000,1,-2,0,0,0,2066,216,1
365,230000,-2,-2,761,300,300,399,576,0
366,330000,1,-1,-9,1520,1529,1507,3965,0
367,50000,0,0,47166,49396,3000,2237,1000,0
368,10000,-1,2,2887,1923,0,1500,0,0
369,3.00E+05,1,-2,0,0,0,0,0,0
370,20000,3,2,20631,20010,0,1168,390,1
371,180000,2,2,83538,0,0,0,0,1
372,160000,-1,-1,99,2977,2977,15086,13028,0
373,90000,0,0,34302,35089,1640,9000,8000,0
374,30000,0,0,22987,22298,2500,2000,4000,0
375,180000,0,0,173267,174590,8100,5299,5040,0
376,30000,0,0,19143,20168,1640,1700,800,0
377,30000,1,2,20518,19901,0,1342,4200,0
378,140000,-1,0,10833,14446,14000,3855,3600,0
379,210000,0,0,69937,71906,3500,3000,4000,0
380,50000,0,0,20526,15129,2000,3000,3000,1
381,130000,0,0,89055,90780,4200,2575,2674,0
382,50000,2,2,1894,3200,1500,400,500,1
383,140000,0,0,100594,78372,3000,30000,4000,0
384,170000,-1,0,2948,3848,1105,1903,296,1
385,80000,0,0,22619,31429,10010,1209,0,0
386,410000,0,0,338106,342904,15000,14000,8500,0
387,80000,1,-1,0,80000,80000,0,0,0
388,80000,-1,0,63144,65631,3500,4330,3500,1
389,150000,0,0,153249,154049,7900,6500,5700,0
390,260000,-1,-1,1131,291,291,582,0,1
391,350000,1,-2,0,0,0,0,0,0
392,280000,1,-1,-1312,35918,38621,2000,922,1
393,310000,0,0,103797,91989,4400,4013,3000,0
394,140000,0,0,20110,17102,3000,3000,3500,0
395,360000,-1,-1,38000,25000,25000,0,0,0
396,140000,0,0,142428,144105,10000,10000,6000,0
397,1.00E+05,0,0,40810,42653,2502,1200,0,0
398,50000,-2,-2,0,0,0,0,0,0
399,210000,0,0,104701,106134,4002,5000,3000,0
400,120000,2,2,120298,120822,4007,0,5000,0
401,240000,0,0,156362,132280,5233,3289,3018,0
402,60000,0,0,41322,29091,1488,1394,1500,0
403,150000,-1,-1,1464,2084,2091,384,2344,1
404,30000,0,0,27879,28870,1774,1710,1079,0
405,160000,2,2,160432,163916,7500,0,5800,1
406,2.00E+05,-2,-2,3858,2690,2690,3487,0,0
407,120000,0,0,26476,21393,6000,0,0,0
408,5.00E+05,1,2,507062,491956,325,15296,12312,0
409,320000,0,0,55607,62893,11404,8232,9697,0
410,280000,0,0,168382,175646,10000,8000,6217,0
411,60000,1,2,29332,28577,0,2709,1400,1
412,2.00E+05,-1,-1,190,0,0,0,150,0
413,230000,1,-2,0,0,0,2809,792,0
414,230000,1,2,13668,12647,0,1064,313,1
415,480000,-2,-2,14867,26665,26734,199982,19371,0
416,50000,-1,-1,22500,5000,5000,0,0,0
417,2.00E+05,-2,-2,7184,14845,17507,1102,0,0
418,50000,0,0,14811,16262,2000,1600,2000,0
419,50000,0,0,44338,43048,3629,3332,2000,0
420,260000,1,-2,0,0,0,0,0,1
421,30000,2,0,25265,26354,1500,1800,2500,0
422,440000,0,0,169661,167199,8071,9021,6013,0
423,230000,-1,-1,10237,2795,2795,1350,2980,0
424,2.00E+05,2,2,104978,105924,4500,0,3500,1
425,490000,0,0,192586,197967,10000,7143,6303,0
426,80000,-1,-1,11262,0,0,0,0,0
427,20000,2,2,9551,12081,3000,1500,3123,1
428,170000,-1,-1,199,199,199,199,0,1
429,70000,0,0,70119,68536,3600,1646,28468,0
430,210000,0,0,212601,177946,6000,4500,3000,0
431,90000,0,0,91894,71732,3200,3300,3001,0
432,390000,0,0,304867,299998,13007,10612,11000,1
433,110000,0,0,48123,49537,2500,2500,2000,0
434,580000,0,0,159760,162189,6422,6565,6006,0
435,360000,0,0,9210,8485,6015,17454,0,0
436,270000,1,2,234752,233036,10000,8000,16000,1
437,60000,-1,-1,14072,0,0,0,0,0
438,110000,0,0,61807,62499,2300,2200,2200,0
439,50000,0,0,51044,50231,2500,3008,761,0
440,80000,0,0,77024,73281,3212,1600,40000,1
441,50000,-1,-1,350,350,350,400,11300,0
442,1.00E+05,0,0,83831,85586,4000,4037,3500,0
443,30000,1,-2,0,0,0,945,197,0
444,2.00E+05,0,0,122923,124653,5704,5930,4003,0
445,240000,0,0,246135,231443,12026,9010,8000,1
446,220000,0,0,37304,33304,1600,1500,1000,0
447,160000,0,0,146433,107604,4500,4400,2400,0
448,180000,-1,-1,46122,1260,1260,29366,0,0
449,2.00E+05,0,0,38564,38246,5000,1485,1500,0
450,140000,0,0,96304,98007,4505,12906,2210,0
451,380000,1,-2,0,0,0,0,0,1
452,6.00E+05,2,2,467150,458862,0,18000,16000,1
453,260000,0,0,255691,262736,14000,5022,7000,0
454,2.00E+05,0,0,156786,179,179,1443,1443,0
455,80000,0,0,78129,28202,2500,51432,1800,0
456,40000,0,0,40034,36549,2027,1207,212,0
457,130000,1,2,71034,69329,0,6000,6000,0
458,50000,-1,0,23974,24131,1800,1900,0,0
459,230000,-1,-1,819,18163,18163,5654,6985,0
460,70000,0,0,50927,39883,2100,1217,0,1
461,180000,0,0,152510,151651,5657,10372,5000,0
462,80000,-1,-1,1689,8638,8638,5723,1260,0
463,290000,0,0,20807,99860,80000,3000,23473,0
464,230000,0,0,30141,131255,120093,8034,4010,0
465,170000,1,-2,0,0,0,1991,0,0
466,230000,-1,0,208459,206331,7536,7277,7120,1
467,220000,0,0,212795,211043,8909,7500,6729,1
468,230000,0,0,28114,28006,1610,1224,627,0
469,5.00E+05,0,0,59372,49677,10026,7241,25000,0
470,90000,-1,-1,6160,3274,3276,6246,2870,0
471,390000,0,0,355215,363325,13802,16525,9229,1
472,4.00E+05,0,0,366193,372700,14020,13595,6007,0
473,180000,-1,-1,2927,2790,2790,1140,1180,0
474,60000,1,2,29295,30321,1800,1500,2700,0
475,120000,-1,-1,4158,2682,2682,0,0,0
476,60000,0,0,27199,28358,1900,1400,1100,0
477,50000,0,0,50893,28527,1800,1500,1203,0
478,70000,0,0,66759,68200,2518,5950,1782,0
479,5.00E+05,-1,2,600,300,0,501,600,0
480,2.00E+05,-2,-2,0,0,0,0,0,0
481,250000,0,0,44930,137101,120041,4435,1069,0
482,140000,0,0,131367,146193,17000,0,550,1
483,70000,0,0,41264,41799,2112,1200,6736,0
484,90000,1,2,77604,73317,1700,4000,1600,0
485,1.00E+05,-1,-1,2491,1709,1709,574,2306,0
486,190000,0,0,177554,180633,7600,6303,3502,0
487,230000,-1,-1,6865,15111,15111,13165,10500,0
488,320000,0,0,93768,91523,3317,3506,5000,0
489,220000,-1,-1,396,1648,1648,792,396,1
490,260000,-1,-1,16426,6088,6277,4663,4414,0
491,90000,-2,-2,573,0,157,0,0,0
492,30000,2,2,28703,26622,1300,2,0,0
493,260000,0,0,98560,100980,4000,11900,2003,0
494,170000,0,0,28304,17616,4000,308,0,0
495,80000,0,0,8574,9434,1203,1047,408,1
496,50000,-1,-1,508,672,1000,390,220,0
497,2.00E+05,0,0,203183,202961,7521,7000,7128,0
498,20000,0,0,16440,20417,7403,0,1025,0
499,250000,-1,-1,66,0,0,0,6,0
500,20000,0,0,15912,17272,1623,3916,0,0
501,30000,0,0,20344,21705,2000,1500,1500,0
502,90000,1,2,23132,22474,0,6000,4500,0
503,230000,0,0,221590,227397,10000,9000,8000,0
504,130000,0,0,19161,20544,2000,3000,0,1
505,30000,-2,-2,0,0,0,0,0,0
506,160000,-1,-1,396,396,396,396,793,0
507,5.00E+05,-1,-1,3959,0,0,285138,100,0
508,180000,0,0,42238,38741,2500,2000,2500,0
509,80000,0,0,21507,13207,1700,1400,1000,0
510,120000,-1,-1,884,0,0,0,0,0
511,130000,-1,-1,1261,1261,1261,1261,930,0
512,120000,-1,-1,240,240,240,240,240,1
513,360000,-1,-1,20223,52962,53228,3997,2853,0
514,50000,2,2,29509,30741,2000,1500,1300,1
515,20000,0,0,18355,20259,2900,10,430,0
516,1.00E+05,0,0,94265,53376,2385,88678,2634,0
517,70000,0,0,68739,67629,3060,3300,2750,0
518,50000,0,0,13917,16695,3000,5000,618,0
519,10000,1,2,10250,8558,0,2126,328,0
520,290000,0,0,93844,97708,6000,7000,7000,0
521,30000,0,0,16496,17522,1597,1606,1000,0
522,410000,1,-1,-58,32991,33049,16000,18775,0
523,360000,-1,-1,1210,820,390,75720,17000,1
524,140000,0,0,111496,112133,6022,3021,5112,1
525,210000,0,0,67374,69489,3200,3200,2900,0
526,220000,-1,-1,1692,13250,13250,433,0,0
527,20000,1,2,18649,18066,0,1594,1606,0
528,620000,2,2,160837,156839,0,6200,6000,1
529,360000,1,-2,-8,-8,0,0,1685,0
530,20000,-1,-1,18763,14410,14410,0,22073,0
531,50000,0,0,34549,18552,2836,1200,1500,0
532,50000,0,0,97538,49187,2454,1588,803,0
533,10000,0,0,4073,6394,2400,0,0,1
534,1.00E+05,2,0,53849,55030,2050,7500,0,1
